"output_yield","year","reginal_zone","province_code"
494,2548,16,580
613,2548,16,590
579,2548,17,600
518,2548,16,610
434,2548,16,620
353,2548,21,630
284,2548,21,640
377,2548,21,650
308,2548,23,660
288,2548,23,670
336,2548,23,680
338,2548,23,690
346,2548,22,700
408,2548,22,710
412,2548,22,720
397,2548,22,730
331,2548,24,740
360,2548,24,750
381,2548,24,760
551,2549,12,10
524,2549,12,20
535,2549,12,30
452,2549,13,40
502,2549,13,50
458,2549,13,60
432,2549,9,70
514,2549,9,80
451,2549,9,90
595,2549,11,100
504,2549,11,110
602,2549,11,120
464,2549,10,130
502,2549,10,140
509,2549,8,150
497,2549,8,160
524,2549,8,170
374,2549,1,180
292,2549,1,190
314,2549,1,200
316,2549,1,210
319,2549,2,220
268,2549,2,230
347,2549,2,240
299,2549,3,250
314,2549,3,260
305,2549,3,270
367,2549,5,280
370,2549,5,290
327,2549,5,300
309,2549,4,310
316,2549,4,320
359,2549,4,330
320,2549,4,340
281,2549,6,350
297,2549,6,360
508,2549,7,370
510,2549,7,380
600,2549,14,390
657,2549,14,400
665,2549,14,410
442,2549,14,420
575,2549,15,430
764,2549,15,440
622,2549,15,450
706,2549,15,460
462,2549,18,470
368,2549,18,480
533,2549,18,490
339,2549,20,500
315,2549,20,510
367,2549,20,520
386,2549,19,530
423,2549,19,540
746,2549,19,550
641,2549,17,560
616,2549,17,570
504,2549,16,580
661,2549,16,590
576,2549,17,600
521,2549,16,610
430,2549,16,620
359,2549,21,630
297,2549,21,640
414,2549,21,650
312,2549,23,660
336,2549,23,670
351,2549,23,680
337,2549,23,690
357,2549,22,700
436,2549,22,710
430,2549,22,720
373,2549,22,730
338,2549,24,740
353,2549,24,750
372,2549,24,760
524,2550,12,10
512,2550,12,20
533,2550,12,30
503,2550,13,40
497,2550,13,50
450,2550,13,60
429,2550,9,70
513,2550,9,80
478,2550,9,90
594,2550,11,100
510,2550,11,110
603,2550,11,120
523,2550,10,130
533,2550,10,140
517,2550,8,150
499,2550,8,160
533,2550,8,170
368,2550,1,180
303,2550,1,190
317,2550,1,200
324,2550,1,210
328,2550,2,220
284,2550,2,230
335,2550,2,240
300,2550,3,250
322,2550,3,260
305,2550,3,270
368,2550,5,280
360,2550,5,290
323,2550,5,300
332,2550,4,310
322,2550,4,320
370,2550,4,330
345,2550,4,340
288,2550,6,350
299,2550,6,360
522,2550,7,370
531,2550,7,380
718,2550,14,390
721,2550,14,400
708,2550,14,410
649,2550,14,420
607,2550,15,430
771,2550,15,440
720,2550,15,450
722,2550,15,460
476,2550,18,470
372,2550,18,480
546,2550,18,490
298,2550,20,500
317,2550,20,510
403,2550,20,520
401,2550,19,530
434,2550,19,540
758,2550,19,550
645,2550,17,560
674,2550,17,570
525,2550,16,580
672,2550,16,590
641,2550,17,600
522,2550,16,610
421,2550,16,620
383,2550,21,630
308,2550,21,640
427,2550,21,650
327,2550,23,660
351,2550,23,670
370,2550,23,680
351,2550,23,690
388,2550,22,700
454,2550,22,710
436,2550,22,720
387,2550,22,730
347,2550,24,740
369,2550,24,750
384,2550,24,760
528,2551,12,10
507,2551,12,20
541,2551,12,30
532,2551,13,40
501,2551,13,50
456,2551,13,60
441,2551,9,70
515,2551,9,80
487,2551,9,90
596,2551,11,100
537,2551,11,110
612,2551,11,120
528,2551,10,130
547,2551,10,140
526,2551,8,150
503,2551,8,160
536,2551,8,170
381,2551,1,180
305,2551,1,190
308,2551,1,200
305,2551,1,210
323,2551,2,220
287,2551,2,230
331,2551,2,240
295,2551,3,250
311,2551,3,260
298,2551,3,270
359,2551,5,280
354,2551,5,290
323,2551,5,300
321,2551,4,310
317,2551,4,320
350,2551,4,330
320,2551,4,340
282,2551,6,350
291,2551,6,360
535,2551,7,370
515,2551,7,380
715,2551,14,390
691,2551,14,400
730,2551,14,410
704,2551,14,420
633,2551,15,430
775,2551,15,440
745,2551,15,450
752,2551,15,460
480,2551,18,470
366,2551,18,480
549,2551,18,490
309,2551,20,500
321,2551,20,510
386,2551,20,520
379,2551,19,530
404,2551,19,540
738,2551,19,550
639,2551,17,560
698,2551,17,570
529,2551,16,580
673,2551,16,590
658,2551,17,600
552,2551,16,610
426,2551,16,620
380,2551,21,630
306,2551,21,640
432,2551,21,650
331,2551,23,660
340,2551,23,670
358,2551,23,680
350,2551,23,690
370,2551,22,700
447,2551,22,710
447,2551,22,720
384,2551,22,730
342,2551,24,740
355,2551,24,750
367,2551,24,760
535,2552,12,10
535,2552,12,20
518,2552,12,30
519,2552,13,40
499,2552,13,50
451,2552,13,60
432,2552,9,70
496,2552,9,80
471,2552,9,90
587,2552,11,100
522,2552,11,110
611,2552,11,120
508,2552,10,130
509,2552,10,140
504,2552,8,150
496,2552,8,160
529,2552,8,170
386,2552,1,180
276,2552,1,190
303,2552,1,200
306,2552,1,210
320,2552,2,220
289,2552,2,230
335,2552,2,240
297,2552,3,250
316,2552,3,260
306,2552,3,270
372,2552,5,280
360,2552,5,290
325,2552,5,300
324,2552,4,310
326,2552,4,320
358,2552,4,330
322,2552,4,340
286,2552,6,350
287,2552,6,360
539,2552,7,370
532,2552,7,380
692,2552,14,390
688,2552,14,400
719,2552,14,410
677,2552,14,420
647,2552,15,430
779,2552,15,440
748,2552,15,450
757,2552,15,460
492,2552,18,470
410,2552,18,480
543,2552,18,490
318,2552,20,500
320,2552,20,510
391,2552,20,520
380,2552,19,530
399,2552,19,540
738,2552,19,550
641,2552,17,560
699,2552,17,570
532,2552,16,580
675,2552,16,590
665,2552,17,600
553,2552,16,610
